road,vol,speed,last-update-time
公园中路(人民路-河南路),5,37,2012-11-14  23:59:26 
公园中路(人民路-河南路),1,25,2012-11-14  23:58:25 
公园中路(人民路-河南路),4,26,2012-11-14  23:57:25 
公园中路(人民路-河南路),2,35,2012-11-14  23:56:25 
公园中路(人民路-河南路),5,32,2012-11-14  23:55:25 
公园中路(人民路-河南路),,,2012-11-14  23:54:25 
公园中路(人民路-河南路),2,32,2012-11-14  23:53:25 
公园中路(人民路-河南路),2,42,2012-11-14  23:52:25 
公园中路(人民路-河南路),2,31,2012-11-14  23:51:25 
公园中路(人民路-河南路),4,36,2012-11-14  23:50:25 
公园中路(人民路-河南路),2,30,2012-11-14  23:49:25 
公园中路(人民路-河南路),2,55,2012-11-14  23:48:25 
公园中路(人民路-河南路),4,34,2012-11-14  23:47:24 
公园中路(人民路-河南路),8,39,2012-11-14  23:46:22 
公园中路(人民路-河南路),3,29,2012-11-14  23:45:24 
公园中路(人民路-河南路),6,32,2012-11-14  23:44:24 
公园中路(人民路-河南路),2,66,2012-11-14  23:43:24 
公园中路(人民路-河南路),5,36,2012-11-14  23:42:24 
公园中路(人民路-河南路),1,49,2012-11-14  23:41:24 
公园中路(人民路-河南路),6,41,2012-11-14  23:40:24 
公园中路(人民路-河南路),2,36,2012-11-14  23:39:24 
公园中路(人民路-河南路),3,29,2012-11-14  23:38:24 
公园中路(人民路-河南路),4,33,2012-11-14  23:37:23 
公园中路(人民路-河南路),4,30,2012-11-14  23:36:24 
公园中路(人民路-河南路),3,26,2012-11-14  23:35:23 
公园中路(人民路-河南路),5,40,2012-11-14  23:34:23 
公园中路(人民路-河南路),3,36,2012-11-14  23:33:23 
公园中路(人民路-河南路),1,49,2012-11-14  23:32:23 
公园中路(人民路-河南路),2,34,2012-11-14  23:31:23 
公园中路(人民路-河南路),4,39,2012-11-14  23:30:23 
公园中路(人民路-河南路),1,50,2012-11-14  23:29:23 
公园中路(人民路-河南路),2,32,2012-11-14  23:28:23 
公园中路(人民路-河南路),1,33,2012-11-14  23:27:23 
公园中路(人民路-河南路),2,50,2012-11-14  23:26:23 
公园中路(人民路-河南路),6,40,2012-11-14  23:25:23 
公园中路(人民路-河南路),,,2012-11-14  23:24:23 
公园中路(人民路-河南路),2,81,2012-11-14  23:23:22 
公园中路(人民路-河南路),5,41,2012-11-14  23:22:23 
公园中路(人民路-河南路),6,29,2012-11-14  23:21:22 
公园中路(人民路-河南路),,,2012-11-14  23:20:22 
公园中路(人民路-河南路),,,2012-11-14  23:19:20 
公园中路(人民路-河南路),2,31,2012-11-14  23:18:22 
公园中路(人民路-河南路),4,36,2012-11-14  23:17:22 
公园中路(人民路-河南路),5,40,2012-11-14  23:16:22 
公园中路(人民路-河南路),3,26,2012-11-14  23:15:22 
公园中路(人民路-河南路),3,47,2012-11-14  23:14:22 
公园中路(人民路-河南路),3,25,2012-11-14  23:13:22 
公园中路(人民路-河南路),2,15,2012-11-14  23:12:22 
公园中路(人民路-河南路),3,36,2012-11-14  23:11:21 
公园中路(人民路-河南路),2,31,2012-11-14  23:10:21 
公园中路(人民路-河南路),3,16,2012-11-14  23:09:21 
公园中路(人民路-河南路),2,29,2012-11-14  23:08:21 
公园中路(人民路-河南路),3,22,2012-11-14  23:07:21 
公园中路(人民路-河南路),2,45,2012-11-14  23:06:21 
公园中路(人民路-河南路),2,32,2012-11-14  23:05:21 
公园中路(人民路-河南路),,,2012-11-14  23:04:19 
公园中路(人民路-河南路),1,6,2012-11-14  23:03:21 
公园中路(人民路-河南路),,,2012-11-14  23:02:21 
公园中路(人民路-河南路),2,23,2012-11-14  23:01:20 
公园中路(人民路-河南路),6,42,2012-11-14  23:00:20 
公园中路(人民路-河南路),1,45,2012-11-14  22:59:20 
公园中路(人民路-河南路),2,55,2012-11-14  22:58:20 
公园中路(人民路-河南路),3,44,2012-11-14  22:57:20 
公园中路(人民路-河南路),5,47,2012-11-14  22:56:20 
公园中路(人民路-河南路),5,43,2012-11-14  22:55:20 
公园中路(人民路-河南路),2,29,2012-11-14  22:54:20 
公园中路(人民路-河南路),3,44,2012-11-14  22:53:20 
公园中路(人民路-河南路),1,20,2012-11-14  22:52:20 
公园中路(人民路-河南路),3,35,2012-11-14  22:51:20 
公园中路(人民路-河南路),2,13,2012-11-14  22:50:18 
公园中路(人民路-河南路),3,36,2012-11-14  22:49:19 
公园中路(人民路-河南路),2,73,2012-11-14  22:48:19 
公园中路(人民路-河南路),7,105,2012-11-14  22:47:19 
公园中路(人民路-河南路),1,34,2012-11-14  22:46:19 
公园中路(人民路-河南路),1,49,2012-11-14  22:45:19 
公园中路(人民路-河南路),3,53,2012-11-14  22:44:19 
公园中路(人民路-河南路),1,42,2012-11-14  22:43:19 
公园中路(人民路-河南路),4,74,2012-11-14  22:42:19 
公园中路(人民路-河南路),3,29,2012-11-14  22:41:19 
公园中路(人民路-河南路),7,94,2012-11-14  22:40:18 
公园中路(人民路-河南路),3,77,2012-11-14  22:39:19 
公园中路(人民路-河南路),3,68,2012-11-14  22:38:18 
公园中路(人民路-河南路),1,35,2012-11-14  22:37:18 
公园中路(人民路-河南路),7,93,2012-11-14  22:36:18 
