last-update-time,road,speed,vol
2012-11-14 00:00:00,gongyuanzhonglu(renminglu-henanlu),28.0,5.0
2012-11-14 00:01:00,gongyuanzhonglu(renminglu-henanlu),41.0,1.0
2012-11-14 00:02:00,gongyuanzhonglu(renminglu-henanlu),30.0,1.0
2012-11-14 00:03:00,gongyuanzhonglu(renminglu-henanlu),31.0,5.0
2012-11-14 00:04:00,gongyuanzhonglu(renminglu-henanlu),36.0,6.0
2012-11-14 00:05:00,gongyuanzhonglu(renminglu-henanlu),16.0,3.0
2012-11-14 00:06:00,gongyuanzhonglu(renminglu-henanlu),35.0,2.0
2012-11-14 00:07:00,gongyuanzhonglu(renminglu-henanlu),43.0,3.0
2012-11-14 00:08:00,gongyuanzhonglu(renminglu-henanlu),32.0,7.0
2012-11-14 00:09:00,gongyuanzhonglu(renminglu-henanlu),27.0,3.0
2012-11-14 00:10:00,gongyuanzhonglu(renminglu-henanlu),35.0,3.0
2012-11-14 00:11:00,gongyuanzhonglu(renminglu-henanlu),30.0,2.0
2012-11-14 00:12:00,gongyuanzhonglu(renminglu-henanlu),118.0,1.0
2012-11-14 00:13:00,gongyuanzhonglu(renminglu-henanlu),61.0,1.0
2012-11-14 00:14:00,gongyuanzhonglu(renminglu-henanlu),34.0,2.0
2012-11-14 00:15:00,gongyuanzhonglu(renminglu-henanlu),34.0,3.0
2012-11-14 00:16:00,gongyuanzhonglu(renminglu-henanlu),34.0,5.0
2012-11-14 00:17:00,gongyuanzhonglu(renminglu-henanlu),40.0,3.0
2012-11-14 00:18:00,gongyuanzhonglu(renminglu-henanlu),25.0,2.0
2012-11-14 00:19:00,gongyuanzhonglu(renminglu-henanlu),46.0,2.0
2012-11-14 00:20:00,gongyuanzhonglu(renminglu-henanlu),39.0,2.0
2012-11-14 00:21:00,gongyuanzhonglu(renminglu-henanlu),24.0,2.0
2012-11-14 00:22:00,gongyuanzhonglu(renminglu-henanlu),34.0,6.0
2012-11-14 00:23:00,gongyuanzhonglu(renminglu-henanlu),30.0,3.0
2012-11-14 00:24:00,gongyuanzhonglu(renminglu-henanlu),28.0,1.0
2012-11-14 00:25:00,gongyuanzhonglu(renminglu-henanlu),26.0,4.0
2012-11-14 00:26:00,gongyuanzhonglu(renminglu-henanlu),56.0,2.0
2012-11-14 00:27:00,gongyuanzhonglu(renminglu-henanlu),34.0,5.0
2012-11-14 00:28:00,gongyuanzhonglu(renminglu-henanlu),17.0,1.0
2012-11-14 00:29:00,gongyuanzhonglu(renminglu-henanlu),33.0,1.0
2012-11-14 00:30:00,gongyuanzhonglu(renminglu-henanlu),53.0,3.0
2012-11-14 00:31:00,gongyuanzhonglu(renminglu-henanlu),34.0,3.0
2012-11-14 00:32:00,gongyuanzhonglu(renminglu-henanlu),49.0,3.0
2012-11-14 00:33:00,gongyuanzhonglu(renminglu-henanlu),34.0,1.0
2012-11-14 00:34:00,gongyuanzhonglu(renminglu-henanlu),43.0,3.0
2012-11-14 00:35:00,gongyuanzhonglu(renminglu-henanlu),32.0,3.0
2012-11-14 00:36:00,gongyuanzhonglu(renminglu-henanlu),24.0,1.0
2012-11-14 00:37:00,gongyuanzhonglu(renminglu-henanlu),52.0,2.0
2012-11-14 00:38:00,gongyuanzhonglu(renminglu-henanlu),34.0,3.0
2012-11-14 00:39:00,gongyuanzhonglu(renminglu-henanlu),43.0,4.0
2012-11-14 00:40:00,gongyuanzhonglu(renminglu-henanlu),28.0,2.0
2012-11-14 00:41:00,gongyuanzhonglu(renminglu-henanlu),40.0,3.0
2012-11-14 00:42:00,gongyuanzhonglu(renminglu-henanlu),43.0,3.0
2012-11-14 00:43:00,gongyuanzhonglu(renminglu-henanlu),20.0,4.0
2012-11-14 00:44:00,gongyuanzhonglu(renminglu-henanlu),31.0,2.0
2012-11-14 00:45:00,gongyuanzhonglu(renminglu-henanlu),44.0,5.0
2012-11-14 00:46:00,gongyuanzhonglu(renminglu-henanlu),28.0,2.0
2012-11-14 00:47:00,gongyuanzhonglu(renminglu-henanlu),47.0,3.0
2012-11-14 00:48:00,gongyuanzhonglu(renminglu-henanlu),39.0,2.0
2012-11-14 00:49:00,gongyuanzhonglu(renminglu-henanlu),43.0,4.0
2012-11-14 00:50:00,gongyuanzhonglu(renminglu-henanlu),37.0,1.0
