,road,vol,speed,last-update-time
8000,公园中路(人民路-河南路),1.0,25.0,2012-11-14  23:58:25 
8001,公园中路(人民路-河南路),4.0,26.0,2012-11-14  23:57:25 
8002,公园中路(人民路-河南路),2.0,35.0,2012-11-14  23:56:25 
8003,公园中路(人民路-河南路),5.0,32.0,2012-11-14  23:55:25 
8004,公园中路(人民路-河南路),,,2012-11-14  23:54:25 
8005,公园中路(人民路-河南路),2.0,32.0,2012-11-14  23:53:25 
8006,公园中路(人民路-河南路),2.0,42.0,2012-11-14  23:52:25 
8007,公园中路(人民路-河南路),2.0,31.0,2012-11-14  23:51:25 
8008,公园中路(人民路-河南路),4.0,36.0,2012-11-14  23:50:25 
8009,公园中路(人民路-河南路),2.0,30.0,2012-11-14  23:49:25 
8010,公园中路(人民路-河南路),2.0,55.0,2012-11-14  23:48:25 
8011,公园中路(人民路-河南路),4.0,34.0,2012-11-14  23:47:24 
8012,公园中路(人民路-河南路),8.0,39.0,2012-11-14  23:46:22 
8013,公园中路(人民路-河南路),3.0,29.0,2012-11-14  23:45:24 
8014,公园中路(人民路-河南路),6.0,32.0,2012-11-14  23:44:24 
8015,公园中路(人民路-河南路),2.0,66.0,2012-11-14  23:43:24 
8016,公园中路(人民路-河南路),5.0,36.0,2012-11-14  23:42:24 
8017,公园中路(人民路-河南路),1.0,49.0,2012-11-14  23:41:24 
8018,公园中路(人民路-河南路),6.0,41.0,2012-11-14  23:40:24 
8019,公园中路(人民路-河南路),2.0,36.0,2012-11-14  23:39:24 
8020,公园中路(人民路-河南路),3.0,29.0,2012-11-14  23:38:24 
8021,公园中路(人民路-河南路),4.0,33.0,2012-11-14  23:37:23 
8022,公园中路(人民路-河南路),4.0,30.0,2012-11-14  23:36:24 
8023,公园中路(人民路-河南路),3.0,26.0,2012-11-14  23:35:23 
8024,公园中路(人民路-河南路),5.0,40.0,2012-11-14  23:34:23 
8025,公园中路(人民路-河南路),3.0,36.0,2012-11-14  23:33:23 
8026,公园中路(人民路-河南路),1.0,49.0,2012-11-14  23:32:23 
8027,公园中路(人民路-河南路),2.0,34.0,2012-11-14  23:31:23 
8028,公园中路(人民路-河南路),4.0,39.0,2012-11-14  23:30:23 
8029,公园中路(人民路-河南路),1.0,50.0,2012-11-14  23:29:23 
8030,公园中路(人民路-河南路),2.0,32.0,2012-11-14  23:28:23 
8031,公园中路(人民路-河南路),1.0,33.0,2012-11-14  23:27:23 
8032,公园中路(人民路-河南路),2.0,50.0,2012-11-14  23:26:23 
8033,公园中路(人民路-河南路),6.0,40.0,2012-11-14  23:25:23 
8034,公园中路(人民路-河南路),,,2012-11-14  23:24:23 
8035,公园中路(人民路-河南路),2.0,81.0,2012-11-14  23:23:22 
8036,公园中路(人民路-河南路),5.0,41.0,2012-11-14  23:22:23 
8037,公园中路(人民路-河南路),6.0,29.0,2012-11-14  23:21:22 
8038,公园中路(人民路-河南路),,,2012-11-14  23:20:22 
8039,公园中路(人民路-河南路),,,2012-11-14  23:19:20 
8040,公园中路(人民路-河南路),2.0,31.0,2012-11-14  23:18:22 
8041,公园中路(人民路-河南路),4.0,36.0,2012-11-14  23:17:22 
8042,公园中路(人民路-河南路),5.0,40.0,2012-11-14  23:16:22 
8043,公园中路(人民路-河南路),3.0,26.0,2012-11-14  23:15:22 
8044,公园中路(人民路-河南路),3.0,47.0,2012-11-14  23:14:22 
8045,公园中路(人民路-河南路),3.0,25.0,2012-11-14  23:13:22 
8046,公园中路(人民路-河南路),2.0,15.0,2012-11-14  23:12:22 
8047,公园中路(人民路-河南路),3.0,36.0,2012-11-14  23:11:21 
8048,公园中路(人民路-河南路),2.0,31.0,2012-11-14  23:10:21 
8049,公园中路(人民路-河南路),3.0,16.0,2012-11-14  23:09:21 
8050,公园中路(人民路-河南路),2.0,29.0,2012-11-14  23:08:21 
8051,公园中路(人民路-河南路),3.0,22.0,2012-11-14  23:07:21 
8052,公园中路(人民路-河南路),2.0,45.0,2012-11-14  23:06:21 
8053,公园中路(人民路-河南路),2.0,32.0,2012-11-14  23:05:21 
8054,公园中路(人民路-河南路),,,2012-11-14  23:04:19 
8055,公园中路(人民路-河南路),1.0,6.0,2012-11-14  23:03:21 
8056,公园中路(人民路-河南路),,,2012-11-14  23:02:21 
8057,公园中路(人民路-河南路),2.0,23.0,2012-11-14  23:01:20 
8058,公园中路(人民路-河南路),6.0,42.0,2012-11-14  23:00:20 
8059,公园中路(人民路-河南路),1.0,45.0,2012-11-14  22:59:20 
8060,公园中路(人民路-河南路),2.0,55.0,2012-11-14  22:58:20 
8061,公园中路(人民路-河南路),3.0,44.0,2012-11-14  22:57:20 
8062,公园中路(人民路-河南路),5.0,47.0,2012-11-14  22:56:20 
8063,公园中路(人民路-河南路),5.0,43.0,2012-11-14  22:55:20 
8064,公园中路(人民路-河南路),2.0,29.0,2012-11-14  22:54:20 
8065,公园中路(人民路-河南路),3.0,44.0,2012-11-14  22:53:20 
8066,公园中路(人民路-河南路),1.0,20.0,2012-11-14  22:52:20 
8067,公园中路(人民路-河南路),3.0,35.0,2012-11-14  22:51:20 
8068,公园中路(人民路-河南路),2.0,13.0,2012-11-14  22:50:18 
8069,公园中路(人民路-河南路),3.0,36.0,2012-11-14  22:49:19 
8070,公园中路(人民路-河南路),2.0,73.0,2012-11-14  22:48:19 
8071,公园中路(人民路-河南路),7.0,105.0,2012-11-14  22:47:19 
8072,公园中路(人民路-河南路),1.0,34.0,2012-11-14  22:46:19 
8073,公园中路(人民路-河南路),1.0,49.0,2012-11-14  22:45:19 
8074,公园中路(人民路-河南路),3.0,53.0,2012-11-14  22:44:19 
8075,公园中路(人民路-河南路),1.0,42.0,2012-11-14  22:43:19 
8076,公园中路(人民路-河南路),4.0,74.0,2012-11-14  22:42:19 
8077,公园中路(人民路-河南路),3.0,29.0,2012-11-14  22:41:19 
8078,公园中路(人民路-河南路),7.0,94.0,2012-11-14  22:40:18 
8079,公园中路(人民路-河南路),3.0,77.0,2012-11-14  22:39:19 
8080,公园中路(人民路-河南路),3.0,68.0,2012-11-14  22:38:18 
8081,公园中路(人民路-河南路),1.0,35.0,2012-11-14  22:37:18 
8082,公园中路(人民路-河南路),7.0,93.0,2012-11-14  22:36:18 
8083,公园中路(人民路-河南路),,,2012-11-14  22:35:18 
