last-update-time,road,speed,vol
0,2012-11-14  0:00,gongyuanzhonglu(renminglu-henanlu),28.0,5.0
1,2012-11-14  0:01,gongyuanzhonglu(renminglu-henanlu),41.0,1.0
2,2012-11-14  0:02,gongyuanzhonglu(renminglu-henanlu),30.0,1.0
3,2012-11-14  0:03,gongyuanzhonglu(renminglu-henanlu),31.0,5.0
4,2012-11-14  0:04,gongyuanzhonglu(renminglu-henanlu),36.0,6.0
5,2012-11-14  0:05,gongyuanzhonglu(renminglu-henanlu),16.0,3.0
6,2012-11-14  0:06,gongyuanzhonglu(renminglu-henanlu),,
7,2012-11-14  0:07,gongyuanzhonglu(renminglu-henanlu),43.0,3.0
8,2012-11-14  0:08,gongyuanzhonglu(renminglu-henanlu),32.0,7.0
9,2012-11-14  0:09,gongyuanzhonglu(renminglu-henanlu),27.0,3.0
10,2012-11-14  0:10,gongyuanzhonglu(renminglu-henanlu),35.0,3.0
11,2012-11-14  0:11,gongyuanzhonglu(renminglu-henanlu),30.0,2.0
12,2012-11-14  0:12,gongyuanzhonglu(renminglu-henanlu),118.0,1.0
13,2012-11-14  0:13,gongyuanzhonglu(renminglu-henanlu),61.0,1.0
14,2012-11-14  0:14,gongyuanzhonglu(renminglu-henanlu),34.0,2.0
15,2012-11-14  0:15,gongyuanzhonglu(renminglu-henanlu),34.0,3.0
16,2012-11-14  0:16,gongyuanzhonglu(renminglu-henanlu),34.0,5.0
17,2012-11-14  0:17,gongyuanzhonglu(renminglu-henanlu),40.0,3.0
18,2012-11-14  0:18,gongyuanzhonglu(renminglu-henanlu),25.0,2.0
19,2012-11-14  0:19,gongyuanzhonglu(renminglu-henanlu),46.0,2.0
20,2012-11-14  0:20,gongyuanzhonglu(renminglu-henanlu),39.0,2.0
21,2012-11-14  0:21,gongyuanzhonglu(renminglu-henanlu),24.0,2.0
22,2012-11-14  0:22,gongyuanzhonglu(renminglu-henanlu),34.0,6.0
23,2012-11-14  0:23,gongyuanzhonglu(renminglu-henanlu),30.0,3.0
24,2012-11-14  0:24,gongyuanzhonglu(renminglu-henanlu),28.0,1.0
25,2012-11-14  0:25,gongyuanzhonglu(renminglu-henanlu),,
26,2012-11-14  0:26,gongyuanzhonglu(renminglu-henanlu),56.0,2.0
27,2012-11-14  0:27,gongyuanzhonglu(renminglu-henanlu),34.0,5.0
28,2012-11-14  0:28,gongyuanzhonglu(renminglu-henanlu),17.0,1.0
29,2012-11-14  0:29,gongyuanzhonglu(renminglu-henanlu),33.0,1.0
30,2012-11-14  0:30,gongyuanzhonglu(renminglu-henanlu),53.0,3.0
31,2012-11-14  0:31,gongyuanzhonglu(renminglu-henanlu),34.0,3.0
32,2012-11-14  0:32,gongyuanzhonglu(renminglu-henanlu),49.0,3.0
33,2012-11-14  0:33,gongyuanzhonglu(renminglu-henanlu),34.0,1.0
34,2012-11-14  0:34,gongyuanzhonglu(renminglu-henanlu),43.0,3.0
35,2012-11-14  0:35,gongyuanzhonglu(renminglu-henanlu),32.0,3.0
36,2012-11-14  0:36,gongyuanzhonglu(renminglu-henanlu),24.0,1.0
37,2012-11-14  0:37,gongyuanzhonglu(renminglu-henanlu),52.0,2.0
38,2012-11-14  0:38,gongyuanzhonglu(renminglu-henanlu),34.0,3.0
39,2012-11-14  0:39,gongyuanzhonglu(renminglu-henanlu),43.0,4.0
40,2012-11-14  0:40,gongyuanzhonglu(renminglu-henanlu),28.0,2.0
41,2012-11-14  0:41,gongyuanzhonglu(renminglu-henanlu),,
42,2012-11-14  0:42,gongyuanzhonglu(renminglu-henanlu),43.0,3.0
43,2012-11-14  0:43,gongyuanzhonglu(renminglu-henanlu),20.0,4.0
44,2012-11-14  0:44,gongyuanzhonglu(renminglu-henanlu),31.0,2.0
45,2012-11-14  0:45,gongyuanzhonglu(renminglu-henanlu),44.0,5.0
46,2012-11-14  0:46,gongyuanzhonglu(renminglu-henanlu),28.0,2.0
47,2012-11-14  0:47,gongyuanzhonglu(renminglu-henanlu),47.0,3.0
48,2012-11-14  0:48,gongyuanzhonglu(renminglu-henanlu),39.0,2.0
49,2012-11-14  0:49,gongyuanzhonglu(renminglu-henanlu),,
50,2012-11-14  0:50,gongyuanzhonglu(renminglu-henanlu),37.0,1.0
51,2012-11-14  0:51,gongyuanzhonglu(renminglu-henanlu),32.0,1.0
52,2012-11-14  0:52,gongyuanzhonglu(renminglu-henanlu),29.0,1.0
53,2012-11-14  0:53,gongyuanzhonglu(renminglu-henanlu),41.0,3.0
54,2012-11-14  0:54,gongyuanzhonglu(renminglu-henanlu),42.0,5.0
55,2012-11-14  0:55,gongyuanzhonglu(renminglu-henanlu),24.0,1.0
56,2012-11-14  0:56,gongyuanzhonglu(renminglu-henanlu),67.0,1.0
57,2012-11-14  0:57,gongyuanzhonglu(renminglu-henanlu),,
58,2012-11-14  0:58,gongyuanzhonglu(renminglu-henanlu),29.0,3.0
59,2012-11-14  0:59,gongyuanzhonglu(renminglu-henanlu),22.0,3.0
60,2012-11-14  1:00,gongyuanzhonglu(renminglu-henanlu),,
61,2012-11-14  1:01,gongyuanzhonglu(renminglu-henanlu),39.0,4.0
62,2012-11-14  1:02,gongyuanzhonglu(renminglu-henanlu),32.0,2.0
63,2012-11-14  1:03,gongyuanzhonglu(renminglu-henanlu),49.0,3.0
64,2012-11-14  1:04,gongyuanzhonglu(renminglu-henanlu),,
65,2012-11-14  1:05,gongyuanzhonglu(renminglu-henanlu),30.0,2.0
